timestamp,mid,bid_price,ask_price,bid_size,ask_size
2023-01-19 00:00:00,20.93,,,,
2023-01-19 00:01:00,21.01,,,,
2023-01-19 00:02:00,21.0,,,,
2023-01-19 00:03:00,21.02,,,,
2023-01-19 00:04:00,20.97,,,,
2023-01-19 00:05:00,21.03,,,,
2023-01-19 00:06:00,21.04,,,,
2023-01-19 00:07:00,21.03,,,,
2023-01-19 00:08:00,21.1,,,,
2023-01-19 00:09:00,21.12,,,,
2023-01-19 00:10:00,21.17,,,,
2023-01-19 00:11:00,21.14,,,,
2023-01-19 00:12:00,21.17,,,,
2023-01-19 00:13:00,21.1,,,,
2023-01-19 00:14:00,21.06,,,,
2023-01-19 00:15:00,21.12,,,,
2023-01-19 00:16:00,21.14,,,,
2023-01-19 00:17:00,21.2,,,,
2023-01-19 00:18:00,21.16,,,,
2023-01-19 00:19:00,21.13,,,,
2023-01-19 00:20:00,21.13,,,,
2023-01-19 00:21:00,21.08,,,,
2023-01-19 00:22:00,21.1,,,,
2023-01-19 00:23:00,21.09,,,,
2023-01-19 00:24:00,21.1,,,,
2023-01-19 00:25:00,21.08,,,,
2023-01-19 00:26:00,21.01,,,,
2023-01-19 00:27:00,20.98,,,,
2023-01-19 00:28:00,21.02,,,,
2023-01-19 00:29:00,21.04,,,,
2023-01-19 00:30:00,21.01,,,,
2023-01-19 00:31:00,20.98,,,,
2023-01-19 00:32:00,21.04,,,,
2023-01-19 00:33:00,21.09,,,,
2023-01-19 00:34:00,21.09,,,,
2023-01-19 00:35:00,21.14,,,,
2023-01-19 00:36:00,21.12,,,,
2023-01-19 00:37:00,21.17,,,,
2023-01-19 00:38:00,21.19,,,,
2023-01-19 00:39:00,21.25,,,,
2023-01-19 00:40:00,21.21,,,,
2023-01-19 00:41:00,21.19,,,,
2023-01-19 00:42:00,21.26,,,,
2023-01-19 00:43:00,21.2,,,,
2023-01-19 00:44:00,21.15,,,,
2023-01-19 00:45:00,21.17,,,,
2023-01-19 00:46:00,21.18,,,,
2023-01-19 00:47:00,21.2,,,,
2023-01-19 00:48:00,21.17,,,,
2023-01-19 00:49:00,21.16,,,,
2023-01-19 00:50:00,21.13,,,,
2023-01-19 00:51:00,21.09,,,,
2023-01-19 00:52:00,21.09,,,,
2023-01-19 00:53:00,21.07,,,,
2023-01-19 00:54:00,21.08,,,,
2023-01-19 00:55:00,21.12,,,,
2023-01-19 00:56:00,21.08,,,,
2023-01-19 00:57:00,21.02,,,,
2023-01-19 00:58:00,21.01,,,,
2023-01-19 00:59:00,20.98,,,,
2023-01-19 01:00:00,21.01,,,,
2023-01-19 01:01:00,20.97,,,,
2023-01-19 01:02:00,20.98,,,,
2023-01-19 01:03:00,21.03,,,,
2023-01-19 01:04:00,21.08,,,,
2023-01-19 01:05:00,21.07,,,,
2023-01-19 01:06:00,21.13,,,,
2023-01-19 01:07:00,21.14,,,,
2023-01-19 01:08:00,21.14,,,,
2023-01-19 01:09:00,21.05,,,,
2023-01-19 01:10:00,21.1,,,,
2023-01-19 01:11:00,21.08,,,,
2023-01-19 01:12:00,21.08,,,,
2023-01-19 01:13:00,21.09,,,,
